1	2	19
1	3	5
2	4	7
2	5	6
2	6	5
2	7	7
2	8	44
2	9	7
2	10	16
2	11	14
2	12	6
2	13	5
2	14	6
2	15	7
2	16	16
2	17	8
2	18	7
2	19	8
2	20	5
2	3	6
3	23	5
3	14	10
3	531	5
3	537	5
3	176	5
4	21	7
4	11	5
6	103	6
6	105	16
6	106	23
6	23	6
6	109	6
6	110	11
6	111	11
6	112	6
6	17	35
6	113	9
6	114	5
6	108	5
6	115	5
6	116	6
6	117	7
6	118	6
6	7	10
6	119	8
6	120	8
6	121	5
6	122	5
6	123	5
6	98	5
6	124	7
6	104	5
6	125	6
6	126	17
6	127	18
6	128	5
6	129	5
6	130	6
6	131	7
6	132	9
6	133	5
7	118	8
7	218	5
7	115	8
7	17	21
7	136	7
7	225	5
7	226	14
7	227	5
7	156	15
7	73	6
7	228	5
7	137	7
7	108	6
7	112	8
7	229	5
7	230	6
7	169	7
7	231	12
7	232	7
7	233	8
7	234	8
7	106	6
7	123	5
7	235	6
7	236	6
7	237	8
7	238	5
7	239	5
7	13	7
7	240	5
7	241	5
7	242	5
7	119	13
7	14	5
7	11	8
7	87	7
7	243	6
7	244	6
7	245	10
7	246	6
7	247	7
7	248	5
7	249	6
7	250	5
7	204	5
7	251	6
7	186	8
7	252	5
8	11	10
8	15	5
8	10	8
10	11	5
11	22	14
11	30	12
11	81	9
11	23	18
11	26	9
11	528	5
11	19	7
11	529	7
11	530	6
11	90	10
11	21	9
11	531	11
11	532	10
11	24	5
11	25	8
11	533	6
11	534	6
11	535	5
11	74	7
11	14	16
11	536	5
11	88	5
11	176	13
11	537	10
11	169	9
11	398	7
11	538	6
11	539	7
12	23	9
12	73	6
12	26	6
12	17	5
12	74	5
12	75	6
12	76	8
12	77	5
12	78	11
13	17	6
13	575	8
14	22	6
14	233	7
17	72	5
17	134	9
17	116	12
17	109	12
17	162	8
17	118	6
17	104	42
17	217	5
17	218	8
17	108	21
17	319	5
17	73	14
17	322	7
17	235	10
17	364	5
17	386	7
17	117	20
17	115	43
17	136	10
17	138	10
17	387	11
17	160	15
17	139	16
17	135	6
17	408	6
17	209	23
17	105	61
17	106	103
17	409	5
17	410	10
17	411	5
17	154	11
17	412	5
17	413	7
17	112	50
17	414	12
17	415	7
17	416	8
17	417	5
17	391	8
17	418	6
17	419	13
17	128	12
17	420	7
17	421	7
17	422	7
17	156	15
17	423	5
17	424	5
17	216	17
17	309	7
17	302	10
17	110	6
17	111	8
17	425	12
17	155	7
17	130	22
17	164	8
17	426	10
17	212	12
17	427	7
17	393	5
17	157	13
17	107	15
17	301	7
17	428	7
17	429	7
17	77	5
17	98	13
17	321	9
17	430	6
17	125	28
17	431	5
17	186	16
17	432	5
17	433	5
17	434	5
17	219	11
17	314	6
17	435	7
17	436	5
17	437	5
17	225	10
17	306	6
17	355	13
17	205	5
17	438	7
17	76	5
17	397	5
17	439	7
17	177	5
17	440	7
17	441	5
17	399	6
17	442	5
17	443	5
17	406	5
17	444	11
17	208	7
17	445	5
17	446	5
17	360	5
17	126	15
17	447	6
17	448	5
17	449	7
17	390	12
17	241	5
17	450	9
17	127	13
17	305	5
17	451	7
17	210	7
17	90	6
17	452	5
17	388	7
17	453	6
17	214	7
17	119	6
17	454	5
17	455	14
17	456	5
17	252	8
17	407	6
17	457	5
17	458	6
17	307	6
18	81	6
18	102	13
18	330	5
18	130	5
18	46	6
18	696	10
18	697	20
18	698	6
18	699	15
18	700	5
18	701	14
18	702	5
18	703	10
18	337	6
18	704	15
18	705	8
18	706	6
18	707	5
19	30	5
19	81	6
19	413	5
19	98	5
19	528	6
19	687	7
19	688	5
19	689	6
19	83	6
19	28	7
19	690	7
19	20	6
22	23	15
22	24	8
22	25	5
22	26	7
22	27	7
22	28	5
22	29	6
22	30	5
23	26	23
23	165	10
23	166	9
23	74	22
23	167	6
23	168	6
23	27	8
23	169	6
24	924	5
25	30	8
25	189	34
25	525	6
25	146	5
25	194	9
25	195	15
25	196	14
25	191	6
25	192	6
25	193	8
25	878	6
25	93	15
25	190	12
25	197	8
25	68	6
25	879	5
26	74	17
26	166	5
26	172	7
26	165	5
26	77	13
26	98	11
26	173	6
26	174	7
26	90	8
26	29	12
26	175	10
26	176	6
26	177	5
26	178	6
26	97	6
27	177	6
27	74	5
27	97	6
27	29	11
27	28	9
27	471	5
27	176	7
27	1097	5
29	165	5
29	74	6
29	175	7
29	176	8
30	81	14
30	82	5
30	83	5
30	84	6
30	85	5
30	86	9
30	87	7
30	88	8
30	89	7
30	90	8
30	91	5
30	43	6
30	92	5
30	77	5
30	93	6
30	94	5
30	95	5
31	32	10
31	33	9
32	37	61
32	38	5
32	39	7
32	40	5
32	41	5
32	42	15
32	43	6
32	44	6
32	45	5
32	46	13
32	47	8
32	48	10
32	49	9
32	50	10
32	51	6
34	35	5
34	36	8
35	502	5
37	42	12
37	48	6
37	550	8
37	551	6
37	552	8
37	553	6
37	45	6
37	554	7
37	46	8
37	47	9
37	49	5
37	50	8
38	335	5
38	550	7
38	551	5
39	50	5
41	1074	6
41	553	5
42	52	6
42	55	14
42	153	5
42	253	7
42	51	125
42	255	5
42	50	13
42	254	53
42	102	6
42	256	5
42	257	14
42	258	12
42	173	6
42	182	6
42	259	12
42	185	6
42	183	5
42	260	10
42	261	5
42	262	5
42	263	16
42	264	31
42	265	43
42	266	11
42	267	7
42	54	6
42	268	13
42	269	8
42	270	6
42	271	10
42	272	9
42	273	5
42	274	8
42	80	7
43	828	6
43	91	8
43	829	9
44	1009	5
45	46	5
45	554	5
45	47	7
46	143	5
46	326	17
46	102	55
46	327	61
46	115	8
46	330	32
46	328	11
46	333	14
46	256	58
46	554	10
46	146	9
46	356	9
46	329	9
46	576	6
46	359	6
46	219	6
46	47	6
46	357	6
46	577	5
46	337	10
46	345	9
46	341	6
46	578	5
46	347	8
46	342	5
46	579	5
47	554	19
47	728	5
47	768	13
48	326	35
48	102	31
48	327	24
48	328	7
48	256	9
48	329	6
48	330	20
48	331	14
48	332	7
48	333	7
50	51	6
50	254	7
50	758	11
51	55	8
51	153	6
51	253	15
51	254	79
51	275	6
51	267	13
51	54	5
51	276	6
51	277	9
51	265	43
51	278	9
51	173	11
51	182	10
51	279	5
51	259	12
51	185	9
51	183	8
51	260	11
51	274	13
51	280	9
51	255	10
51	281	10
51	282	5
51	263	7
51	264	26
51	258	7
51	257	8
51	268	7
51	266	5
51	80	5
51	271	10
51	269	5
51	273	6
52	53	8
52	54	7
53	55	10
53	56	6
53	57	21
53	58	20
53	59	24
53	60	8
53	61	7
53	62	5
55	63	10
55	64	6
55	65	14
55	66	10
55	57	8
55	58	6
55	67	11
55	59	8
55	68	5
55	69	13
55	70	9
55	71	10
56	60	7
56	58	18
56	59	8
56	57	17
57	323	5
57	60	6
57	58	27
57	59	12
57	61	6
58	323	7
58	60	8
58	324	13
58	325	7
58	59	13
58	62	6
59	60	9
59	62	7
59	61	11
63	220	5
63	628	5
63	66	11
64	153	7
64	376	11
64	377	5
64	314	6
64	522	5
64	523	6
64	375	6
65	66	7
66	220	5
66	314	5
66	628	8
66	651	7
66	851	5
66	629	5
67	189	5
67	489	6
68	525	5
68	902	5
68	70	5
69	189	5
70	376	6
70	523	11
71	1019	5
73	104	9
73	320	7
73	106	14
73	321	6
73	117	6
73	205	10
74	172	8
74	165	15
74	156	6
74	166	18
74	555	6
74	168	17
74	173	7
74	556	11
74	708	8
74	186	6
74	557	9
74	558	7
74	709	5
74	535	5
74	97	5
74	710	5
76	77	7
76	98	13
77	177	6
77	106	5
77	112	7
77	98	44
77	173	8
77	174	8
79	80	9
80	525	8
81	96	5
81	97	7
81	98	5
81	90	6
81	87	8
82	99	8
82	100	6
82	101	6
82	102	5
83	413	8
83	98	12
86	95	8
86	788	6
87	500	11
87	95	7
87	501	5
88	706	5
88	97	6
88	665	6
88	755	14
89	770	6
89	173	6
89	92	11
89	670	18
89	859	11
89	919	22
90	106	5
90	209	5
90	545	5
90	546	13
90	389	6
90	547	7
91	864	10
91	865	5
91	866	5
92	173	5
92	919	14
92	670	13
92	859	5
94	785	7
95	500	6
95	178	5
97	546	11
97	755	5
98	104	6
98	117	7
98	413	12
98	106	12
98	112	7
98	476	6
98	515	5
102	326	52
102	327	37
102	328	10
102	335	5
102	331	10
102	256	48
102	336	6
102	337	9
102	333	22
102	338	5
102	330	21
102	339	7
102	340	13
102	341	6
102	137	6
102	342	10
102	329	13
102	332	8
102	343	5
102	146	12
102	344	5
102	345	7
102	346	9
102	347	5
103	104	6
103	105	11
103	106	18
103	107	5
103	108	7
104	140	5
104	112	9
104	125	37
104	105	30
104	106	55
